county,region,population,demand_acft,supply_acft,deficit_acft,deficit_pct,severity_tier,data_centers,semi_fabs,total_facilities
ANDERSON,I,63746,16426,19183,0,0.0,None,0,0,0
ANDREWS,F,30111,31059,21424,10011,32.23,Severe,0,0,0
ANGELINA,I,110332,22485,39640,1924,8.56,Low,1,0,1
ARANSAS,N,25102,4048,4048,0,0.0,None,0,0,0
ARCHER,B,9960,5358,4963,1033,19.28,Moderate,0,0,0
ARMSTRONG,A,1911,7158,7350,0,0.0,None,0,0,0
ATASCOSA,L,75481,54513,61601,1110,2.04,Low,0,0,0
AUSTIN,H,50483,14663,13549,1114,7.6,Low,0,0,0
BAILEY,O,10880,68720,24379,45934,66.84,Critical,0,0,0
BANDERA,J,31742,4553,7219,519,11.4,Moderate,0,0,0
BASTROP,K,217608,55372,41273,15260,27.56,Severe,0,0,0
BAYLOR,B,3726,6822,7121,0,0.0,None,0,0,0
BEE,N,35545,12137,9722,2415,19.9,Moderate,0,0,0
BELL,G,560252,106665,107020,18118,16.99,Moderate,0,0,0
BEXAR,L,2695668,420879,360814,68266,16.22,Moderate,2,4,6
BLANCO,K,17672,3932,5283,60,1.53,Low,0,0,0
BORDEN,F,671,3793,3553,240,6.33,Low,0,0,0
BOSQUE,G,23747,13026,15288,2187,16.79,Moderate,0,0,0
BOWIE,D,103909,28751,11732,20710,72.03,Critical,0,0,0
BRAZORIA,H,519696,401947,329646,97964,24.37,Moderate,0,0,0
BRAZOS,G,401051,112051,100222,21470,19.16,Moderate,0,0,0
BREWSTER,E,10334,4952,7568,0,0.0,None,0,0,0
BRISCOE,O,1673,18540,14617,4234,22.84,Moderate,0,0,0
BROOKS,N,9181,3991,3580,411,10.3,Moderate,0,0,0
BROWN,F,40717,16683,14691,1992,11.94,Moderate,0,0,0
BURLESON,G,21735,32704,35434,385,1.18,Low,0,0,0
BURNET,K,82668,27378,27856,5300,19.36,Moderate,0,0,0
CALDWELL,L,78243,10998,12737,1367,12.43,Moderate,0,0,0
CALHOUN,L,32276,72429,69516,14088,19.45,Moderate,0,0,0
CALLAHAN,G,16351,3310,3628,298,9.0,Low,0,0,0
CAMERON,M,729461,610528,278622,333920,54.69,Critical,0,0,0
CAMP,D,17127,6939,4352,3962,57.1,Critical,0,0,0
CARSON,A,6632,90181,90140,581,0.64,Low,0,0,0
CASS,D,31229,38860,39670,2066,5.32,Low,0,0,0
CASTRO,O,10698,263929,62081,207865,78.76,Critical,0,0,0
CHAMBERS,H,68541,178873,204733,20320,11.36,Moderate,0,0,0
CHEROKEE,I,72560,16076,18966,236,1.47,Low,0,0,0
CHILDRESS,A,8001,16611,16820,0,0.0,None,0,0,0
CLAY,B,11503,5938,6596,17,0.29,Low,0,0,0
COCHRAN,O,3667,76915,55701,35349,45.96,Severe,0,0,0
COKE,F,3320,2024,1586,438,21.64,Moderate,0,0,0
COLEMAN,F,9307,2568,1251,1381,53.78,Critical,0,0,0
COLLIN,C,1807279,373126,233297,142013,38.06,Severe,2,15,17
COLLINGSWORTH,A,3653,39648,29495,10161,25.63,Severe,0,0,0
COLORADO,K,24582,176236,131773,45829,26.0,Severe,0,0,0
COMAL,L,276239,67595,44792,27434,40.59,Severe,0,0,0
COMANCHE,G,15974,37196,21723,15734,42.3,Severe,0,0,0
CONCHO,F,2852,6053,6104,0,0.0,None,0,0,0
COOKE,C,52427,10180,9876,447,4.39,Low,0,0,0
CORYELL,G,122101,20900,22625,4665,22.32,Moderate,0,0,0
COTTLE,B,1552,4844,5304,0,0.0,None,0,0,0
CRANE,F,6737,2967,2967,0,0.0,None,0,0,0
CROCKETT,F,4486,4066,6028,0,0.0,None,0,0,0
CROSBY,O,7850,87226,59943,28694,32.9,Severe,0,0,0
CULBERSON,E,3173,41695,37514,5858,14.05,Moderate,0,0,0
DALLAM,A,10650,236536,143156,93385,39.48,Severe,0,0,0
DALLAS,C,3429783,701225,539124,174502,24.89,Moderate,2,58,60
DAWSON,O,16440,96644,82349,15021,15.54,Moderate,0,0,0
DEAF SMITH,O,33554,159557,70345,90549,56.75,Critical,0,0,0
DELTA,D,5376,3590,10774,263,7.33,Low,0,0,0
DENTON,C,1584015,305248,188572,118823,38.93,Severe,2,2,4
DEWITT,L,22216,8424,8564,267,3.17,Low,0,0,0
DICKENS,O,2164,9817,11311,0,0.0,None,0,0,0
DIMMIT,L,12825,11540,4166,7393,64.06,Critical,0,0,0
DONLEY,A,3788,32667,32889,0,0.0,None,0,0,0
DUVAL,N,14644,8276,6849,1427,17.24,Moderate,0,0,0
EASTLAND,G,19732,9421,12361,471,5.0,Low,0,0,0
ECTOR,F,233048,49433,47604,3981,8.05,Low,1,0,1
EDWARDS,J,2123,1071,2431,153,14.29,Moderate,0,0,0
EL PASO,E,1296927,355288,281190,82882,23.33,Moderate,0,1,1
ELLIS,C,360584,73196,48613,24845,33.94,Severe,2,0,2
ERATH,G,54827,20108,23669,8,0.04,Low,0,0,0
FALLS,G,20126,13124,16555,188,1.43,Low,0,0,0
FANNIN,C,69328,22330,15714,7088,31.74,Severe,0,0,0
FAYETTE,K,37351,58668,55603,5080,8.66,Low,0,0,0
FISHER,G,4001,6288,6948,216,3.44,Low,0,0,0
FLOYD,O,7854,91611,70523,23187,25.31,Severe,0,0,0
FOARD,B,1401,3851,4126,0,0.0,None,0,0,0
FORT BEND,H,1421933,370907,346178,94382,25.45,Severe,1,4,5
FRANKLIN,D,12226,4434,8645,1804,40.69,Severe,0,0,0
FREESTONE,C,31142,45961,32404,14377,31.28,Severe,0,0,0
FRIO,L,24488,84710,84796,4673,5.52,Low,0,0,0
GAINES,O,36654,316356,152675,170448,53.88,Critical,0,0,0
GALVESTON,H,427547,136759,141144,18326,13.4,Moderate,0,0,0
GARZA,O,8166,11869,14494,0,0.0,None,0,0,0
