county,region,group,total_facilities,demand_acft,deficit_acft,deficit_pct_of_demand
ANDERSON,I,Non-Industrial,0,16426,0,0.0
ANDREWS,F,Non-Industrial,0,31059,10011,32.23
ANGELINA,I,Industrial,1,22485,1924,8.56
ARANSAS,N,Non-Industrial,0,4048,0,0.0
ARCHER,B,Non-Industrial,0,5358,1033,19.28
ARMSTRONG,A,Non-Industrial,0,7158,0,0.0
ATASCOSA,L,Non-Industrial,0,54513,1110,2.04
AUSTIN,H,Non-Industrial,0,14663,1114,7.6
BAILEY,O,Non-Industrial,0,68720,45934,66.84
BANDERA,J,Non-Industrial,0,4553,519,11.4
BASTROP,K,Non-Industrial,0,55372,15260,27.56
BAYLOR,B,Non-Industrial,0,6822,0,0.0
BEE,N,Non-Industrial,0,12137,2415,19.9
BELL,G,Non-Industrial,0,106665,18118,16.99
BEXAR,L,Industrial,6,420879,68266,16.22
BLANCO,K,Non-Industrial,0,3932,60,1.53
BORDEN,F,Non-Industrial,0,3793,240,6.33
BOSQUE,G,Non-Industrial,0,13026,2187,16.79
BOWIE,D,Non-Industrial,0,28751,20710,72.03
BRAZORIA,H,Non-Industrial,0,401947,97964,24.37
BRAZOS,G,Non-Industrial,0,112051,21470,19.16
BREWSTER,E,Non-Industrial,0,4952,0,0.0
BRISCOE,O,Non-Industrial,0,18540,4234,22.84
BROOKS,N,Non-Industrial,0,3991,411,10.3
BROWN,F,Non-Industrial,0,16683,1992,11.94
BURLESON,G,Non-Industrial,0,32704,385,1.18
BURNET,K,Non-Industrial,0,27378,5300,19.36
CALDWELL,L,Non-Industrial,0,10998,1367,12.43
CALHOUN,L,Non-Industrial,0,72429,14088,19.45
CALLAHAN,G,Non-Industrial,0,3310,298,9.0
CAMERON,M,Non-Industrial,0,610528,333920,54.69
CAMP,D,Non-Industrial,0,6939,3962,57.1
CARSON,A,Non-Industrial,0,90181,581,0.64
CASS,D,Non-Industrial,0,38860,2066,5.32
CASTRO,O,Non-Industrial,0,263929,207865,78.76
CHAMBERS,H,Non-Industrial,0,178873,20320,11.36
CHEROKEE,I,Non-Industrial,0,16076,236,1.47
CHILDRESS,A,Non-Industrial,0,16611,0,0.0
