county,region,population_2020,population_2030,population_2040,population_2050,population_2060,population_2070,unmet_needs_2020_acft,unmet_needs_2030_acft,unmet_needs_2040_acft,unmet_needs_2050_acft,unmet_needs_2060_acft,unmet_needs_2070_acft,severity_pct,severity_tier,data_centers,semi_fabs,total_facilities
ANDERSON,I,61016,63017,63746,63746,63746,63746,0,0,0,0,0,0,0.0,None,0,0,0
ANDREWS,F,19089,22847,26246,30111,34526,39574,3147,7366,8503,10011,11727,13478,32.23,Severe,0,0,0
ANGELINA,I,93316,99848,105329,110332,114808,118772,1922,2197,2022,1924,1849,1792,8.56,Low,1,0,1
ARANSAS,N,24463,24991,24937,25102,25103,25104,0,0,0,0,0,0,0.0,None,0,0,0
ARCHER,B,9409,9845,9960,9960,9960,9960,905,1075,1015,1033,1058,1237,19.28,Moderate,0,0,0
ARMSTRONG,A,1911,1911,1911,1911,1911,1911,0,0,0,0,0,0,0.0,None,0,0,0
ATASCOSA,L,52574,60755,68210,75481,82324,88676,752,878,994,1110,1321,1517,2.04,Low,0,0,0
AUSTIN,H,33014,38257,43886,50483,57721,65756,0,405,714,1114,1583,2177,7.6,Low,0,0,0
BAILEY,O,8012,8962,9906,10880,11844,12790,15298,45670,45670,45934,46232,46551,66.84,Critical,0,0,0
BANDERA,J,24991,28780,30881,31742,32265,32537,405,473,506,519,529,535,11.4,Moderate,0,0,0
BASTROP,K,95487,125559,164648,217608,289140,384244,675,6978,11395,15260,22893,37368,27.56,Severe,0,0,0
BAYLOR,B,3726,3726,3726,3726,3726,3726,0,0,0,0,0,0,0.0,None,0,0,0
BEE,N,33478,34879,35487,35545,35579,35590,2477,2516,2487,2415,2378,2361,19.9,Moderate,0,0,0
BELL,G,371956,433618,497830,560252,624686,688107,3745,7840,12353,18118,24117,31530,16.99,Moderate,0,0,0
BEXAR,L,1974041,2231550,2468254,2695668,2904319,3094726,12387,27016,47872,68266,90218,112499,16.22,Moderate,2,4,6
BLANCO,K,13015,15475,16917,17672,18175,18472,0,11,43,60,73,82,1.53,Low,0,0,0
BORDEN,F,659,671,671,671,671,671,0,138,202,240,265,282,6.33,Low,0,0,0
BOSQUE,G,20310,22184,23147,23747,24129,24362,2230,2352,2194,2187,2189,2225,16.79,Moderate,0,0,0
BOWIE,D,95703,98413,99263,103909,107829,111008,19166,19961,20309,20710,21138,21556,72.03,Critical,0,0,0
BRAZORIA,H,359935,411387,463886,519696,581368,648568,79489,87973,92617,97964,104105,111209,24.37,Moderate,0,0,0
BRAZOS,G,227654,282453,342487,401051,433781,484546,100,5388,13452,21470,25702,33389,19.16,Moderate,0,0,0
BREWSTER,E,9727,10091,10230,10334,10387,10417,0,0,0,0,0,0,0.0,None,0,0,0
BRISCOE,O,1673,1673,1673,1673,1673,1673,0,4234,4234,4234,4234,4234,22.84,Moderate,0,0,0
BROOKS,N,7783,8252,8722,9181,9595,9979,371,396,399,411,422,429,10.3,Moderate,0,0,0
BROWN,F,39761,40717,40717,40717,40717,40717,1981,1990,1988,1992,1985,1985,11.94,Moderate,0,0,0
BURLESON,G,18539,19946,20838,21735,22442,23022,353,372,387,385,383,393,1.18,Low,0,0,0
BURNET,K,53114,64268,73673,82668,90571,97426,1347,2329,3509,5300,7144,9033,19.36,Moderate,0,0,0
CALDWELL,L,47008,57553,67955,78243,88639,98754,140,290,588,1367,2215,3060,12.43,Moderate,0,0,0
CALHOUN,L,24037,26866,29622,32276,34906,37454,14088,14088,14088,14088,14176,14207,19.45,Moderate,0,0,0
CALLAHAN,G,14482,15504,16061,16351,16564,16700,539,542,307,298,292,288,9.0,Low,0,0,0
CAMERON,M,478974,559593,641376,729461,820068,912941,365992,350391,339940,333920,330325,327675,54.69,Critical,0,0,0
CAMP,D,13555,14873,15904,17127,18264,19372,3962,3962,3962,3962,3962,3962,57.1,Critical,0,0,0
CARSON,A,6354,6520,6632,6632,6632,6632,0,461,586,581,580,580,0.64,Low,0,0,0
CASS,D,31016,31229,31229,31229,31229,31229,2314,2218,2126,2066,2062,2062,5.32,Low,0,0,0
CASTRO,O,8890,9650,10194,10698,11091,11407,125042,207865,207865,207865,207865,207865,78.76,Critical,0,0,0
CHAMBERS,H,42162,50543,59210,68541,78519,88999,17122,18164,19087,20320,21660,23073,11.36,Moderate,0,0,0
CHEROKEE,I,55634,61005,66277,72560,79148,86269,238,247,210,236,292,476,1.47,Low,0,0,0
CHILDRESS,A,7269,7546,7776,8001,8225,8443,0,0,0,0,186,393,0.0,None,0,0,0
CLAY,B,11154,11503,11503,11503,11503,11503,4,10,13,17,22,89,0.29,Low,0,0,0
COCHRAN,O,3491,3687,3717,3667,3772,3807,42778,47340,40014,35349,31132,28190,45.96,Severe,0,0,0
COKE,F,3320,3320,3320,3320,3320,3320,449,444,440,438,437,437,21.64,Moderate,0,0,0
COLEMAN,F,9103,9307,9307,9307,9307,9307,1424,1412,1387,1381,1380,1380,53.78,Critical,0,0,0
COLLIN,C,1050506,1239303,1497921,1807279,2093720,2373092,2557,50183,90354,142013,192375,237749,38.06,Severe,2,15,17
COLLINGSWORTH,A,3236,3408,3522,3653,3755,3844,7391,10673,9831,10161,10322,9664,25.63,Severe,0,0,0
COLORADO,K,21884,22836,23544,24582,25449,26293,59388,54738,50209,45829,41572,37433,26.0,Severe,0,0,0
COMAL,L,152499,193188,234515,276239,317682,357464,8307,15421,21459,27434,33874,39952,40.59,Severe,0,0,0
COMANCHE,G,14502,15078,15467,15974,16406,16814,15764,15910,15742,15734,15692,15780,42.3,Severe,0,0,0
CONCHO,F,2781,2852,2852,2852,2852,2852,0,0,0,0,0,0,0.0,None,0,0,0
COOKE,C,40903,44035,46984,52427,62905,95351,588,220,301,447,1828,5922,4.39,Low,0,0,0
CORYELL,G,86105,97771,110752,122101,134199,146240,2760,3105,3686,4665,6025,8885,22.32,Moderate,0,0,0
COTTLE,B,1552,1552,1552,1552,1552,1552,0,0,0,0,0,0,0.0,None,0,0,0
CRANE,F,5056,5713,6241,6737,7151,7501,0,0,0,0,0,0,0.0,None,0,0,0
CROCKETT,F,4111,4386,4446,4486,4500,4506,0,0,0,0,0,0,0.0,None,0,0,0
CROSBY,O,6526,7023,7433,7850,8299,8715,1502,1698,28722,28694,28674,28658,32.9,Severe,0,0,0
CULBERSON,E,2695,2954,3069,3173,3233,3272,333,333,5858,5858,5858,5858,14.05,Moderate,0,0,0
DALLAM,A,7718,8668,9667,10650,11594,12503,29965,117238,109256,93385,76444,76664,39.48,Severe,0,0,0
DALLAS,C,2587960,2871662,3180529,3429783,3627334,3770858,16473,73982,126168,174502,211482,240513,24.89,Moderate,2,58,60
