rank,county,region,deficit_acft,deficit_pct,severity_tier,total_facilities,data_centers,semi_fabs,cumulative_deficit_pct,cumulative_facilities_pct
1,HIDALGO,M,481789,52.99,Critical,0,0,0,8.31,0.0
2,HARRIS,H,397450,29.35,Severe,5,2,3,15.16,3.07
3,CAMERON,M,333920,54.69,Critical,0,0,0,20.92,3.07
4,HALE,O,216096,82.93,Critical,0,0,0,24.65,3.07
5,CASTRO,O,207865,78.76,Critical,0,0,0,28.23,3.07
6,TARRANT,C,202090,35.5,Severe,5,4,1,31.72,6.13
7,LAMB,O,187208,82.66,Critical,0,0,0,34.95,6.13
8,DALLAS,C,174502,24.89,Moderate,60,2,58,37.96,42.94
9,GAINES,O,170448,53.88,Critical,0,0,0,40.9,42.94
10,PARMER,O,161748,78.47,Critical,0,0,0,43.69,42.94
11,HARTLEY,A,160175,54.46,Critical,0,0,0,46.45,42.94
12,JEFFERSON,I,149713,37.96,Severe,0,0,0,49.03,42.94
13,COLLIN,C,142013,38.06,Severe,17,2,15,51.48,53.37
14,MATAGORDA,K,119568,44.54,Severe,0,0,0,53.54,53.37
15,DENTON,C,118823,38.93,Severe,4,2,2,55.59,55.83
16,BRAZORIA,H,97964,24.37,Moderate,0,0,0,57.28,55.83
17,FORT BEND,H,94382,25.45,Severe,5,1,4,58.91,58.9
18,WILLIAMSON,K,93710,46.54,Severe,5,1,4,60.52,61.96
19,DALLAM,A,93385,39.48,Severe,0,0,0,62.13,61.96
20,DEAF SMITH,O,90549,56.75,Critical,0,0,0,63.7,61.96
21,MONTGOMERY,H,83518,42.04,Severe,1,1,0,65.14,62.58
22,EL PASO,E,82882,23.33,Moderate,1,0,1,66.57,63.19
23,YOAKUM,O,79379,59.76,Critical,0,0,0,67.94,63.19
24,SWISHER,O,70822,69.34,Critical,0,0,0,69.16,63.19
25,WILLACY,M,70215,74.28,Critical,0,0,0,70.37,63.19
26,WHARTON,K,69691,24.69,Moderate,0,0,0,71.57,63.19
27,BEXAR,L,68266,16.22,Moderate,6,2,4,72.75,66.87
28,LUBBOCK,O,65459,31.79,Severe,1,0,1,73.88,67.48
29,MOORE,A,52778,32.95,Severe,0,0,0,74.79,67.48
30,BAILEY,O,45934,66.84,Critical,0,0,0,75.58,67.48
31,COLORADO,K,45829,26.0,Severe,0,0,0,76.37,67.48
32,VICTORIA,L,45602,58.66,Critical,0,0,0,77.15,67.48
33,UVALDE,L,44779,59.45,Critical,0,0,0,77.93,67.48
34,TERRY,O,43079,31.23,Severe,0,0,0,78.67,67.48
35,SHERMAN,A,38831,15.42,Moderate,1,0,1,79.34,68.1
36,MEDINA,L,38489,52.53,Critical,0,0,0,80.0,68.1
37,SOMERVELL,G,36292,49.24,Severe,0,0,0,80.63,68.1
38,TITUS,D,35810,44.68,Severe,0,0,0,81.25,68.1
39,COCHRAN,O,35349,45.96,Severe,0,0,0,81.86,68.1
40,MILAM,G,33062,70.86,Critical,0,0,0,82.43,68.1
41,CROSBY,O,28694,32.9,Severe,0,0,0,82.92,68.1
42,WICHITA,B,27734,43.86,Severe,0,0,0,83.4,68.1
43,COMAL,L,27434,40.59,Severe,0,0,0,83.87,68.1
44,HOCKLEY,O,27096,30.54,Severe,0,0,0,84.34,68.1
45,TRAVIS,K,25866,6.85,Low,27,1,26,84.79,84.66
46,ELLIS,C,24845,33.94,Severe,2,2,0,85.21,85.89
47,STARR,M,24663,63.3,Critical,0,0,0,85.64,85.89
48,PARKER,C,24002,38.2,Severe,0,0,0,86.05,85.89
49,FLOYD,O,23187,25.31,Severe,0,0,0,86.45,85.89
50,BRAZOS,G,21470,19.16,Moderate,0,0,0,86.82,85.89
51,ZAVALA,L,20733,39.15,Severe,0,0,0,87.18,85.89
52,BOWIE,D,20710,72.03,Critical,0,0,0,87.54,85.89
53,CHAMBERS,H,20320,11.36,Moderate,0,0,0,87.89,85.89
54,WISE,C,19962,47.29,Severe,0,0,0,88.23,85.89
55,NUECES,N,19749,14.19,Moderate,2,0,2,88.57,87.12
56,HAYS,K,18751,25.84,Severe,0,0,0,88.9,87.12
57,GALVESTON,H,18326,13.4,Moderate,0,0,0,89.21,87.12
58,BELL,G,18118,16.99,Moderate,0,0,0,89.53,87.12
59,ROBERTSON,G,18050,12.43,Moderate,0,0,0,89.84,87.12
60,KAUFMAN,C,16698,30.97,Severe,0,0,0,90.13,87.12
61,MAVERICK,M,15750,21.67,Moderate,0,0,0,90.4,87.12
62,COMANCHE,G,15734,42.3,Severe,0,0,0,90.67,87.12
63,HASKELL,G,15288,26.57,Severe,0,0,0,90.93,87.12
64,BASTROP,K,15260,27.56,Severe,0,0,0,91.2,87.12
65,POTTER,A,15202,21.49,Moderate,1,1,0,91.46,87.73
66,DAWSON,O,15021,15.54,Moderate,0,0,0,91.72,87.73
67,SHELBY,I,14991,51.27,Critical,0,0,0,91.98,87.73
68,FREESTONE,C,14377,31.28,Severe,0,0,0,92.22,87.73
69,TAYLOR,G,14258,49.36,Severe,0,0,0,92.47,87.73
70,CALHOUN,L,14088,19.45,Moderate,0,0,0,92.71,87.73
71,HUNT,D,13864,41.45,Severe,0,0,0,92.95,87.73
72,ROCKWALL,C,13808,30.3,Severe,1,0,1,93.19,88.34
73,LYNN,O,12822,14.11,Moderate,0,0,0,93.41,88.34
74,MIDLAND,F,12751,18.92,Moderate,1,0,1,93.63,88.96
75,SAN PATRICIO,N,12640,17.75,Moderate,0,0,0,93.85,88.96
76,RANDALL,A,12204,20.59,Moderate,0,0,0,94.06,88.96
77,MITCHELL,F,12126,46.13,Severe,0,0,0,94.27,88.96
78,KNOX,G,11999,30.55,Severe,0,0,0,94.47,88.96
79,COLLINGSWORTH,A,10161,25.63,Severe,0,0,0,94.65,88.96
80,ANDREWS,F,10011,32.23,Severe,0,0,0,94.82,88.96
81,LIBERTY,H,9977,16.27,Moderate,0,0,0,94.99,88.96
82,JOHNSON,G,9866,21.36,Moderate,0,0,0,95.16,88.96
83,TOM GREEN,F,9266,13.22,Moderate,0,0,0,95.32,88.96
84,NOLAN,G,8948,58.89,Critical,0,0,0,95.48,88.96
85,JASPER,I,8932,12.35,Moderate,0,0,0,95.63,88.96
86,LIMESTONE,G,8555,22.3,Moderate,0,0,0,95.78,88.96
87,MCLENNAN,G,8554,9.19,Low,1,0,1,95.93,89.57
88,HALL,A,8296,25.26,Severe,0,0,0,96.07,89.57
89,REEVES,F,7837,10.57,Moderate,0,0,0,96.21,89.57
90,SCURRY,F,7811,65.03,Critical,0,0,0,96.34,89.57
91,WILSON,L,7758,22.94,Moderate,0,0,0,96.47,89.57
92,NACOGDOCHES,I,7607,25.05,Severe,0,0,0,96.61,89.57
93,DIMMIT,L,7393,64.06,Critical,0,0,0,96.73,89.57
94,FANNIN,C,7088,31.74,Severe,0,0,0,96.86,89.57
95,WEBB,M,7075,8.36,Low,0,0,0,96.98,89.57
96,GUADALUPE,L,6552,11.4,Moderate,1,0,1,97.09,90.18
97,VAL VERDE,J,6525,33.7,Severe,0,0,0,97.2,90.18
98,HOPKINS,D,6311,33.5,Severe,0,0,0,97.31,90.18
99,CULBERSON,E,5858,14.05,Moderate,0,0,0,97.41,90.18
100,BURNET,K,5300,19.36,Moderate,0,0,0,97.5,90.18
101,FAYETTE,K,5080,8.66,Low,0,0,0,97.59,90.18
102,GRAYSON,C,5050,11.26,Moderate,7,0,7,97.68,94.48
103,FRIO,L,4673,5.52,Low,0,0,0,97.76,94.48
104,CORYELL,G,4665,22.32,Moderate,0,0,0,97.84,94.48
105,HILL,G,4537,32.48,Severe,1,1,0,97.92,95.09
106,BRISCOE,O,4234,22.84,Moderate,0,0,0,97.99,95.09
107,PALO PINTO,G,4212,36.83,Severe,1,0,1,98.06,95.71
108,ECTOR,F,3981,8.05,Low,1,1,0,98.13,96.32
109,ZAPATA,M,3966,39.22,Severe,0,0,0,98.2,96.32
110,CAMP,D,3962,57.1,Critical,0,0,0,98.27,96.32
111,LA SALLE,L,3538,31.24,Severe,0,0,0,98.33,96.32
112,WILBARGER,B,3531,8.48,Low,0,0,0,98.39,96.32
113,HOOD,G,3160,7.95,Low,0,0,0,98.45,96.32
114,JIM WELLS,N,2765,22.28,Moderate,0,0,0,98.49,96.32
115,WOOD,D,2681,22.35,Moderate,0,0,0,98.54,96.32
116,YOUNG,B,2567,39.4,Severe,0,0,0,98.58,96.32
117,RED RIVER,D,2559,37.53,Severe,0,0,0,98.63,96.32
118,HENDERSON,C,2455,11.54,Moderate,0,0,0,98.67,96.32
119,BEE,N,2415,19.9,Moderate,0,0,0,98.71,96.32
120,KIMBLE,F,2412,53.08,Critical,0,0,0,98.75,96.32
121,STEPHENS,G,2367,39.95,Severe,0,0,0,98.79,96.32
122,WARD,F,2352,22.01,Moderate,0,0,0,98.84,96.32
123,SMITH,D,2343,4.1,Low,2,2,0,98.88,97.55
124,WALLER,H,2343,6.6,Low,0,0,0,98.92,97.55
125,LAMAR,D,2309,8.03,Low,0,0,0,98.96,97.55
126,BOSQUE,G,2187,16.79,Moderate,0,0,0,98.99,97.55
127,SAN AUGUSTINE,I,2137,42.56,Severe,0,0,0,99.03,97.55
128,WASHINGTON,G,2107,20.52,Moderate,0,0,0,99.07,97.55
129,CASS,D,2066,5.32,Low,0,0,0,99.1,97.55
130,PECOS,F,2000,1.27,Low,0,0,0,99.14,97.55
131,BROWN,F,1992,11.94,Moderate,0,0,0,99.17,97.55
132,ANGELINA,I,1924,8.56,Low,1,1,0,99.2,98.16
133,LOVING,F,1805,33.17,Severe,0,0,0,99.24,98.16
134,FRANKLIN,D,1804,40.69,Severe,0,0,0,99.27,98.16
135,NAVARRO,C,1775,10.8,Moderate,1,1,0,99.3,98.77
136,HARRISON,D,1737,2.68,Low,1,1,0,99.33,99.39
137,MILLS,K,1737,27.14,Severe,0,0,0,99.36,99.39
138,LAMPASAS,G,1725,29.16,Severe,0,0,0,99.39,99.39
139,JACK,C,1614,21.01,Moderate,0,0,0,99.41,99.39
140,KARNES,L,1457,22.44,Moderate,0,0,0,99.44,99.39
141,DUVAL,N,1427,17.24,Moderate,0,0,0,99.46,99.39
142,RUSK,I,1417,2.23,Low,0,0,0,99.49,99.39
143,MCCULLOCH,F,1410,12.66,Moderate,0,0,0,99.51,99.39
144,GRAY,A,1384,3.35,Low,0,0,0,99.54,99.39
