county,region,total_facilities,data_centers,semi_fabs,deficit_acft,predicted_deficit,residual,severity_tier
ANDREWS,F,0,0,0,10011,25623.0,-15612.0,Severe
ANGELINA,I,1,1,0,1924,28656.6,-26732.6,Low
ARCHER,B,0,0,0,1033,25623.0,-24590.0,Moderate
ATASCOSA,L,0,0,0,1110,25623.0,-24513.0,Low
AUSTIN,H,0,0,0,1114,25623.0,-24509.0,Low
BAILEY,O,0,0,0,45934,25623.0,20311.0,Critical
BANDERA,J,0,0,0,519,25623.0,-25104.0,Moderate
BASTROP,K,0,0,0,15260,25623.0,-10363.0,Severe
BEE,N,0,0,0,2415,25623.0,-23208.0,Moderate
BELL,G,0,0,0,18118,25623.0,-7505.0,Moderate
BEXAR,L,6,2,4,68266,43825.0,24441.0,Moderate
BLANCO,K,0,0,0,60,25623.0,-25563.0,Low
BORDEN,F,0,0,0,240,25623.0,-25383.0,Low
BOSQUE,G,0,0,0,2187,25623.0,-23436.0,Moderate
BOWIE,D,0,0,0,20710,25623.0,-4913.0,Critical
BRAZORIA,H,0,0,0,97964,25623.0,72341.0,Moderate
BRAZOS,G,0,0,0,21470,25623.0,-4153.0,Moderate
BRISCOE,O,0,0,0,4234,25623.0,-21389.0,Moderate
BROOKS,N,0,0,0,411,25623.0,-25212.0,Moderate
BROWN,F,0,0,0,1992,25623.0,-23631.0,Moderate
BURLESON,G,0,0,0,385,25623.0,-25238.0,Low
BURNET,K,0,0,0,5300,25623.0,-20323.0,Moderate
CALDWELL,L,0,0,0,1367,25623.0,-24256.0,Moderate
CALHOUN,L,0,0,0,14088,25623.0,-11535.0,Moderate
CALLAHAN,G,0,0,0,298,25623.0,-25325.0,Low
CAMERON,M,0,0,0,333920,25623.0,308297.0,Critical
CAMP,D,0,0,0,3962,25623.0,-21661.0,Critical
CARSON,A,0,0,0,581,25623.0,-25042.0,Low
CASS,D,0,0,0,2066,25623.0,-23557.0,Low
CASTRO,O,0,0,0,207865,25623.0,182242.0,Critical
CHAMBERS,H,0,0,0,20320,25623.0,-5303.0,Moderate
CHEROKEE,I,0,0,0,236,25623.0,-25387.0,Low
CLAY,B,0,0,0,17,25623.0,-25606.0,Low
COCHRAN,O,0,0,0,35349,25623.0,9726.0,Severe
COKE,F,0,0,0,438,25623.0,-25185.0,Moderate
COLEMAN,F,0,0,0,1381,25623.0,-24242.0,Critical
COLLIN,C,17,2,15,142013,77195.3,64817.7,Severe
COLLINGSWORTH,A,0,0,0,10161,25623.0,-15462.0,Severe
COLORADO,K,0,0,0,45829,25623.0,20206.0,Severe
COMAL,L,0,0,0,27434,25623.0,1811.0,Severe
COMANCHE,G,0,0,0,15734,25623.0,-9889.0,Severe
COOKE,C,0,0,0,447,25623.0,-25176.0,Low
CORYELL,G,0,0,0,4665,25623.0,-20958.0,Moderate
CROSBY,O,0,0,0,28694,25623.0,3071.0,Severe
CULBERSON,E,0,0,0,5858,25623.0,-19765.0,Moderate
DALLAM,A,0,0,0,93385,25623.0,67762.0,Severe
DALLAS,C,60,2,58,174502,207643.0,-33141.0,Moderate
DAWSON,O,0,0,0,15021,25623.0,-10602.0,Moderate
DEAF SMITH,O,0,0,0,90549,25623.0,64926.0,Critical
DELTA,D,0,0,0,263,25623.0,-25360.0,Low
DENTON,C,4,2,2,118823,37757.6,81065.4,Severe
DEWITT,L,0,0,0,267,25623.0,-25356.0,Low
DIMMIT,L,0,0,0,7393,25623.0,-18230.0,Critical
DUVAL,N,0,0,0,1427,25623.0,-24196.0,Moderate
EASTLAND,G,0,0,0,471,25623.0,-25152.0,Low
ECTOR,F,1,1,0,3981,28656.6,-24675.6,Low
EDWARDS,J,0,0,0,153,25623.0,-25470.0,Moderate
EL PASO,E,1,0,1,82882,28656.6,54225.4,Moderate
ELLIS,C,2,2,0,24845,31690.3,-6845.3,Severe
ERATH,G,0,0,0,8,25623.0,-25615.0,Low
FALLS,G,0,0,0,188,25623.0,-25435.0,Low
FANNIN,C,0,0,0,7088,25623.0,-18535.0,Severe
FAYETTE,K,0,0,0,5080,25623.0,-20543.0,Low
FISHER,G,0,0,0,216,25623.0,-25407.0,Low
FLOYD,O,0,0,0,23187,25623.0,-2436.0,Severe
FORT BEND,H,5,1,4,94382,40791.3,53590.7,Severe
FRANKLIN,D,0,0,0,1804,25623.0,-23819.0,Severe
FREESTONE,C,0,0,0,14377,25623.0,-11246.0,Severe
FRIO,L,0,0,0,4673,25623.0,-20950.0,Low
GAINES,O,0,0,0,170448,25623.0,144825.0,Critical
GALVESTON,H,0,0,0,18326,25623.0,-7297.0,Moderate
