stress_tier,facility_bin,county_count,example_counties
None,0,47,ANDERSON; ARANSAS; ARMSTRONG; BAYLOR; BREWSTER
None,1-3,0,
None,4-10,0,
None,10+,0,
Low,0,58,ATASCOSA; AUSTIN; BLANCO; BORDEN; BURLESON
Low,1-3,6,ANGELINA; ECTOR; GREGG; HARRISON; MCLENNAN
Low,4-10,0,
Low,10+,1,TRAVIS
Moderate,0,48,ARCHER; BANDERA; BEE; BELL; BOSQUE
Moderate,1-3,7,EL PASO; GUADALUPE; MIDLAND; NAVARRO; NUECES
Moderate,4-10,2,BEXAR; GRAYSON
Moderate,10+,1,DALLAS
Severe,0,46,ANDREWS; BASTROP; COCHRAN; COLLINGSWORTH; COLORADO
Severe,1-3,6,ELLIS; HILL; LUBBOCK; MONTGOMERY; PALO PINTO
Severe,4-10,5,DENTON; FORT BEND; HARRIS; TARRANT; WILLIAMSON
Severe,10+,1,COLLIN
Critical,0,26,BAILEY; BOWIE; CAMERON; CAMP; CASTRO
Critical,1-3,0,
Critical,4-10,0,
Critical,10+,0,
