FRS_FACILITY_DETAIL_REPORT_URL,REGISTRY_ID,PRIMARY_NAME,LOCATION_ADDRESS,SUPPLEMENTAL_LOCATION,CITY_NAME,COUNTY_NAME,FIPS_CODE,STATE_CODE,STATE_NAME,COUNTRY_NAME,POSTAL_CODE,FEDERAL_FACILITY_CODE,FEDERAL_AGENCY_NAME,TRIBAL_LAND_CODE,TRIBAL_LAND_NAME,CONGRESSIONAL_DIST_NUM,CENSUS_BLOCK_CODE,HUC_CODE,EPA_REGION_CODE,SITE_TYPE_NAME,LOCATION_DESCRIPTION,CREATE_DATE,UPDATE_DATE,US_MEXICO_BORDER_IND,PGM_SYS_ACRNMS,LATITUDE83,LONGITUDE83,CONVEYOR,COLLECT_DESC,ACCURACY_VALUE,REF_POINT_DESC,HDATUM_DESC,SOURCE_DESC
https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110000456113,1.1E+11,HUTSON INDUSTRIES INC,1000 HUTSON CIR,,FRISCO,COLLIN,48085,TX,TEXAS,UNITED STATES,75035,,,,,03,4.8085E+14,12030103,06,STATIONARY,,1-Mar-00,1-Jun-17,,"EIS:5840811, ICIS:1079, RCRAINFO:TXD041087925, TRIS:75034HTSNN1000H, TX-TCEQ ACR:RN100789676, TX-TCEQ ACR:RN102324977",33.14809,-96.80189,FRS-TRIS,ADDRESS MATCHING-HOUSE NUMBER,30,CENTER OF A FACILITY OR STATION,NAD83,
https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110000456541,1.1E+11,FAB  8,6431 LONGHORN DR.,,IRVING,DALLAS,48113,TX,TEXAS,UNITED STATES,75063,,,,,24,4.8113E+14,12030103,06,STATIONARY,,1-Mar-00,1-Jun-17,,"AIR:TX0000004811300817, AIRS/AFS:4811300817, EIS:6491411, NPDES:TXR1593FB, RCRAINFO:TXD982556524, TRIS:75063HTCHS6431L, TX-TCEQ ACR:RN100857994, TX-TCEQ ACR:RN102166386",32.89614,-96.98125,FRS-TRIS,ADDRESS MATCHING-HOUSE NUMBER,30,CENTER OF A FACILITY OR STATION,NAD83,
https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110000456649,1.1E+11,OPTOELECTRONICS DIV ARAPAHO RD,830 EAST ARAPAHO RD,,RICHARDSON,DALLAS,48113,TX,TEXAS,UNITED STATES,75081,,,,,32,4.8113E+14,12030106,06,STATIONARY,,1-Mar-00,1-Jun-17,,"AIR:TX0000004811300861, AIRS/AFS:4811300861, BR:TXR000057331, EIS:3967311, NPDES:TXR05CX63, RCRAINFO:TXD047825633, RCRAINFO:TXR000057331, TRIS:75081HNYWL830EA, TX-TCEQ ACR:RN101997617, TX-TCEQ ACR:RN104204912",32.96061,-96.71155,FRS-TRIS,ADDRESS MATCHING-HOUSE NUMBER,30,CENTER OF A FACILITY OR STATION,NAD83,
https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110000457700,1.1E+11,MARLOW INDUSTRIES DALLAS,10451 VISTA PARK RD.,,DALLAS,DALLAS,48113,TX,TEXAS,UNITED STATES,752381645,,,,,03,4.8113E+14,12030105,06,STATIONARY,,1-Mar-00,1-Jun-17,,"AIR:TX0000004811300229, AIRS/AFS:4811300229, MN-TEMPO:62776, NPDES:TXRNEBO39, NPDES:TXRNEP072, RCRAINFO:TXD062886981, TRIS:75238MRLWN10451, TX-TCEQ ACR:RN100219542",32.89278,-96.70301,FRS-TRIS,ADDRESS MATCHING-HOUSE NUMBER,30,CENTER OF A FACILITY OR STATION,NAD83,
https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110000457791,1.1E+11,TRIQUINT SEMICONDUCTOR TEXAS L P,13512 N. CENTRAL EXPRESSWAY,,DALLAS,DALLAS,48113,TX,TEXAS,UNITED STATES,75243,,,,,03,4.8113E+14,12030105,06,STATIONARY,,1-Mar-00,1-Jun-17,,"EIS:4607111, TRIS:75243TRQNT13512, TX-TCEQ ACR:RN100223650",32.933271,-96.753495,FRS-GEOCODE,ADDRESS MATCHING-HOUSE NUMBER,50,ENTRANCE POINT OF A FACILITY OR STATION,NAD83,
https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110000462543,1.1E+11,TEXAS INSTRUMENTS STAFFORD,12201 SOUTHWEST FREEWAY,,STAFFORD,FORT BEND,48157,TX,TEXAS,UNITED STATES,77477-3006,,,,,22,4.81577E+14,12040104,06,STATIONARY,,1-Mar-00,26-Oct-16,,"AIR:TX0000004815700017, AIRS/AFS:4815700017, E-GGRT:1010305, NCDB:I06#1987011251022 1, NPDES:TX0003824, RCRAINFO:TXD008073926, TX-TCEQ ACR:RN101717999",29.647,-95.575,E-PLAN,CLASSICAL SURVEYING TECHNIQUES,,CENTER OF FACILITY,NAD83,
https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110000464587,1.1E+11,TEMIC AUTOMOTIVE OF NORTH AMERICA INC,3740 NORTH AUSTIN STREET,,SEGUIN,GUADALUPE,48187,TX,TEXAS,USA,78155,,,,,28,4.81872E+14,12100202,06,,,1-Mar-00,26-Jan-09,,"BR:TXD000014217, EIS:3829311, NPDES:TXR05EU83, NPDES:TXR05T710, OSHA-OIS:340789650, RCRAINFO:TXD000014217, TRIS:78155MTRLN3740N, TX-TCEQ ACR:RN100563683",29.61618,-97.96755,FRS-GEOCODE,ADDRESS MATCHING-HOUSE NUMBER,30,CENTER OF A FACILITY OR STATION,NAD83,
https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110000464890,1.1E+11,SONY SEMICONDUCTOR  SAN ANTONIO,ONE SONY PLACE,,SAN ANTONIO,BEXAR,48029,TX,TEXAS,UNITED STATES,78245-2101,,,,,20,4.80292E+14,12100302,06,STATIONARY,,1-Mar-00,1-Jun-17,,"AIR:TX0000004802900176, AIRS/AFS:4802900176, BR:TXD980627111, NCDB:I06#19880120TX002 1, RCRAINFO:TXD980627111, RCRAINFO:TXD988064564, TRIS:78245DVNCD8611M",29.44494,-98.6414,FRS-GEOCODE,ADDRESS MATCHING-HOUSE NUMBER,50,ENTRANCE POINT OF A FACILITY OR STATION,NAD83,
https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110000464907,1.1E+11,WESTOVER HILLS,9651 WESTOVER HILLS BLVD,,SAN ANTONIO,BEXAR COUNTY,48029,TX,TEXAS,UNITED STATES,78251,,,,,20,4.80292E+14,12100302,06,STATIONARY,,1-Mar-00,28-Jun-17,,"E-GGRT:1010005, EIS:2859911, ICIS:30580, NPDES:TXR05CV35, NPDES:TXR05EZ99, RCRAINFO:TXD982284382, TRIS:78251VLSTC9651W, TSCA:TSCA99355, TX-TCEQ ACR:RN100579069",29.47154,-98.67401,FRS-TRIS,ADDRESS MATCHING-HOUSE NUMBER,30,CENTER OF A FACILITY OR STATION,NAD83,
https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110000465354,1.1E+11,CYPRESS SEMICONDUCTOR (TEXAS) INC,17 CYPRESS BOULEVARD,,ROUND ROCK,WILLIAMSON,48491,TX,TEXAS,UNITED STATES,78665-1002,,,,,31,4.8491E+14,12070205,06,STATIONARY,,1-Mar-00,1-Jun-17,,"EIS:5127911, RCRAINFO:TXD160825428, TRIS:78664CYPRS17CYP, TX-TCEQ ACR:RN100651082",30.55142,-97.68161,FRS-GEOCODE,ADDRESS MATCHING-HOUSE NUMBER,30,CENTER OF A FACILITY OR STATION,NAD83,
https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110000465425,1.1E+11,NXP SEMICONDUCTORS - EB SITE,3501 ED BLUESTEIN BLVD.,,AUSTIN,TRAVIS,48453,TX,TEXAS,UNITED STATES,78721,,,,,25,4.8453E+14,12090205,06,STATIONARY,,1-Mar-00,10-Apr-03,,"AIR:TX0000004845300025, AIRS/AFS:4845300025, E-GGRT:1010066, EIS:5678711, NCDB:I06#19880706TX004 1, NCDB:I06#2000042017200 1, NCDB:I06#2000042017200 2, NPDES:TX0101702, RCRAINFO:TXD069450997, TRIS:78721MTRLN3501E, TSCA:TSCA130081, TX-TCEQ ACR:RN100843747",30.27065,-97.66924,FRS-GEOCODE,ADDRESS MATCHING-HOUSE NUMBER,30,CENTER OF A FACILITY OR STATION,NAD83,
https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110000465489,1.1E+11,SPANSION AUSTIN FACILITY,5204 E BEN WHITE BLVD,,AUSTIN,TRAVIS,48453,TX,TEXAS,UNITED STATES,78701,,,,,25,4.8453E+14,12090205,06,STATIONARY,,1-Mar-00,1-Jun-17,,"AIR:TX0000004845300055, AIRS/AFS:4845300055, BR:TXD096397211, BR:TXR000054825, EIS:6478211, NPDES:TXR05U307, RCRAINFO:TXD096397211, RCRAINFO:TXR000054825, TRIS:78741DVNCD5204E, TSCA:TSCA10211547, TX-TCEQ ACR:RN100723741",30.2175,-97.723056,E-PLAN,GPS CARRIER PHASE STATIC RELATIVE POSITION,,CENTER OF FACILITY,NAD83,
https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110000465531,1.1E+11,"SAMSUNG AUSTIN SEMICONDUCTOR, LLC",12100 SAMSUNG BLVD,,AUSTIN,TRAVIS,48453,TX,TEXAS,UNITED STATES,78754,,,,,10,4.8453E+14,12090301,06,STATIONARY,,1-Mar-00,26-Oct-16,,"AIR:TX0000004845300072, AIRS/AFS:4845300072, E-GGRT:1009872, NPDES:TX0117510, NPDES:TXR05M224, NPDES:TXR15PW66, OSHA-OIS:340481621, OSHA-OIS:341977916, OSHA-OIS:343190955, RCRAINFO:TXR000018853, TRIS:78754SMSNG12100, TSCA:100607842, TSCA:200002957, TSCA:TSCA8028, TX-TCEQ ACR:RN100518026",30.375,-97.631386,FRS-TRIS,GPS CODE (PSEUDO RANGE) PRECISE POSITION,,AIR RELEASE STACK,NAD83,
https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110000465915,1.1E+11,X-FAB TEXAS INC,2301 N. UNIVERSITY AVE.,,LUBBOCK,LUBBOCK,48303,TX,TEXAS,UNITED STATES,79415,,,,,19,4.8303E+14,12050001,06,STATIONARY,,1-Mar-00,1-Jun-17,,"CEDRI:CEDRI10005091, E-GGRT:1009738, EIS:6891111, NPDES:TXR05EG81, NPDES:TXRNEAO80, RCRAINFO:TXD061555611, TRIS:79415TXSNS2301N, TX-TCEQ ACR:RN100646447",33.629444,-101.870834,FRS-TRIS,GPS CARRIER PHASE STATIC RELATIVE POSITION,,ADMINISTRATIVE BUILDING,NAD83,
https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110000495036,1.1E+11,DALLAS SEMICONDUCTOR,4401 SOUTH BELTWOOD PARKWAY,,FARMERS BRANCH,DALLAS,48113,TX,TEXAS,UNITED STATES,75244-3292,,,,,24,4.8113E+14,12030103,06,STATIONARY,,1-Mar-00,9-Jan-15,,"AIR:TX0000004811300379, AIRS/AFS:4811300379, ICIS:20826",32.94816,-96.83471,FRS-GEOCODE,ADDRESS MATCHING-HOUSE NUMBER,30,CENTER OF A FACILITY OR STATION,NAD83,
https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110000619796,1.10001E+11,WASTE CHEMICAL CENTER,13400 T I BLVD,,DALLAS,DALLAS,48113,TX,TEXAS,UNITED STATES,75243,,,,,03,4.8113E+14,12030105,06,STATIONARY,,1-Mar-00,24-Sep-14,,"RCRAINFO:TXD982551806, TX-TCEQ ACR:RN100603935",32.929288,-96.748959,FRS-GEOCODE,ADDRESS MATCHING-HOUSE NUMBER,50,ENTRANCE POINT OF A FACILITY OR STATION,NAD83,
https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110000744482,1.10001E+11,MEMC SOUTHWEST INC,6800 HIGHWAY 75 SOUTH,,SHERMAN,GRAYSON,48181,TX,TEXAS,UNITED STATES,75090,,,,,04,4.8181E+14,11140101,06,STATIONARY,,1-Mar-00,1-Jun-17,,"EIS:3669511, ICIS:1400014795, ICIS:25746, ICIS:26250, RCRAINFO:TXR000006478, TRIS:75090MMCST6416U",33.633398,-96.61582,COMMERCIAL VENDOR,ADDRESS MATCHING-HOUSE NUMBER,150,PLANT ENTRANCE (GENERAL),NAD83,
https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110000824029,1.10001E+11,TEXAS INSTRUMENTS SPRING CREEK SITE,6550 CHASE OAKS BLVD,,PLANO,COLLIN,48085,TX,TEXAS,UNITED STATES,75023,,,,,03,4.8085E+14,12030106,06,STATIONARY,,1-Mar-00,2-Dec-14,,"NPDES:TXR15159T, NPDES:TXR15177T, RCRAINFO:TXD981057854, TX-TCEQ ACR:RN102065851",33.06359,-96.69692,FRS-GEOCODE,ADDRESS MATCHING-HOUSE NUMBER,30,CENTER OF A FACILITY OR STATION,NAD83,
