REGISTRY_ID,PGM_SYS_ACRNM,PGM_SYS_ID,INTEREST_TYPE,NAICS_CODE,PRIMARY_INDICATOR,CODE_DESCRIPTION
110000456113,EIS,5840811,AIR EMISSIONS CLASSIFICATION UNKNOWN,334413,PRIMARY,SEMICONDUCTOR AND RELATED DEVICE MANUFACTURING.
110000456113,TX-TCEQ ACR,RN100789676,STATE MASTER,334413,PRIMARY,SEMICONDUCTOR AND RELATED DEVICE MANUFACTURING.
110000456113,TX-TCEQ ACR,RN102324977,STATE MASTER,334413,PRIMARY,SEMICONDUCTOR AND RELATED DEVICE MANUFACTURING.
110000456113,TRIS,75034HTSNN1000H,TRI REPORTER,334413,PRIMARY,SEMICONDUCTOR AND RELATED DEVICE MANUFACTURING.
110000456113,RCRAINFO,TXD041087925,UNSPECIFIED UNIVERSE,334413,PRIMARY,SEMICONDUCTOR AND RELATED DEVICE MANUFACTURING.
110000456541,EIS,6491411,HAZARDOUS AIR POLLUTANT MAJOR,334413,PRIMARY,SEMICONDUCTOR AND RELATED DEVICE MANUFACTURING.
110000456541,AIR,TX0000004811300817,AIR MINOR,334413,PRIMARY,SEMICONDUCTOR AND RELATED DEVICE MANUFACTURING.
110000456541,RCRAINFO,TXD982556524,UNSPECIFIED UNIVERSE,334413,PRIMARY,SEMICONDUCTOR AND RELATED DEVICE MANUFACTURING.
110000456541,AIRS/AFS,4811300817,AIR MINOR,334413,PRIMARY,SEMICONDUCTOR AND RELATED DEVICE MANUFACTURING.
110000456541,TX-TCEQ ACR,RN100857994,STATE MASTER,334413,PRIMARY,SEMICONDUCTOR AND RELATED DEVICE MANUFACTURING.
110000456541,TRIS,75063HTCHS6431L,TRI REPORTER,334413,PRIMARY,SEMICONDUCTOR AND RELATED DEVICE MANUFACTURING.
110000456649,TX-TCEQ ACR,RN101997617,STATE MASTER,334413,PRIMARY,SEMICONDUCTOR AND RELATED DEVICE MANUFACTURING.
110000456649,AIRS/AFS,4811300861,AIR MINOR,334413,PRIMARY,SEMICONDUCTOR AND RELATED DEVICE MANUFACTURING.
110000456649,AIR,TX0000004811300861,AIR MINOR,334413,PRIMARY,SEMICONDUCTOR AND RELATED DEVICE MANUFACTURING.
110000456649,RCRAINFO,TXD047825633,LQG,334413,PRIMARY,SEMICONDUCTOR AND RELATED DEVICE MANUFACTURING.
110000456649,TRIS,75081HNYWL830EA,TRI REPORTER,334413,PRIMARY,SEMICONDUCTOR AND RELATED DEVICE MANUFACTURING.
